"url","News Date","News Title","News Title_link","News Summary"
"https://search.sindonews.com/search/12?type=artikel&q=pupr","Jum'at, 21 Desember 2018 - 11:40 WIB","Bangun Infrastruktur Pakai Duit SBSN, PUPR Dipelototin Sri Mulyani","https://ekbis.sindonews.com/read/1364656/34/bangun-infrastruktur-pakai-duit-sbsn-pupr-dipelototin-sri-mulyani-1545367033","Menteri PUPR Basuki Hadimuljono mengungkapkan Kementerian PUPR menerima alokasi anggaran melalui Surat Berharga Syariah Negara (SBSN) dari Kemenkeu sejak 2015"
"https://search.sindonews.com/search/12?type=artikel&q=pupr","Jum'at, 14 Desember 2018 - 21:52 WIB","KPK Tetapkan Tersangka Baru Kasus Suap Bupati Pakpak Bharat","https://nasional.sindonews.com/read/1362910/13/kpk-tetapkan-tersangka-baru-kasus-suap-bupati-pakpak-bharat-1544799123","KPK menetapkan tersangka baru yakni Direktur PT Tombang Mitra Utama (TMU) Rijal Efendi Padang terkait kasus dugaan suap proyek di Dinas PUPR Pakpak Bharat."
"https://search.sindonews.com/search/24?type=artikel&q=pupr","Selasa, 11 Desember 2018 - 08:00 WIB","Kaum Milenial Dapat Subsidi KPR","https://ekbis.sindonews.com/read/1361698/34/kaum-milenial-dapat-subsidi-kpr-1544489990","Pemerintah melalui Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) sedang menyiapkan program Kredit Perumahan Rakyat (KPR) khusus bagi para milenial."
"https://search.sindonews.com/search/24?type=artikel&q=pupr","Senin, 10 Desember 2018 - 15:16 WIB","Atasi Banjir Rob Jakarta, Giant Sea Wall Dikembangkan Jadi NCICD","https://metro.sindonews.com/read/1361528/171/atasi-banjir-rob-jakarta-giant-sea-wall-dikembangkan-jadi-ncicd-1544429761","Staf Khusus Menteri PUPR Bidang Air dan Sumber Daya Air, Firdaus Ali mengatakan, giant sea wall dikembangkan menjadi national capital integrated coastal development (NCICD)."
"https://search.sindonews.com/search/24?type=artikel&q=pupr","Kamis, 06 Desember 2018 - 13:48 WIB","Konsep Rest Area TOD Tinggal Menunggu Izin Kementerian PUPR","https://daerah.sindonews.com/read/1360538/22/konsep-rest-area-tod-tinggal-menunggu-izin-kementerian-pupr-1544078927","Menteri BUMN Rini Sumarno meninjau rencana penambahan rest area jalan tol dengan konsep transit oriented development (TOD) yang berlokasi di Km 369, Desa Kedawung, Banyuputih, Batang, Jawa Tengah."
"https://search.sindonews.com/search/24?type=artikel&q=pupr","Rabu, 05 Desember 2018 - 15:41 WIB","Program IBM Kementerian PUPR Menjangkau hingga Pedesaan","https://ekbis.sindonews.com/read/1360247/34/program-ibm-kementerian-pupr-menjangkau-hingga-pedesaan-1543999592","Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) saat ini mengembangkan program baru yang bernama Infrastruktur Berbasis Masyarakat (IBM)."
"https://search.sindonews.com/search/24?type=artikel&q=pupr","Rabu, 05 Desember 2018 - 13:43 WIB","Tak Semua Daerah Pembangunan Infrastruktur di Papua Rawan Penembakan","https://ekbis.sindonews.com/read/1360201/34/tak-semua-daerah-pembangunan-infrastruktur-di-papua-rawan-penembakan-1543992182","Menteri PUPR Basuki Hadimuljono mengatakan, kendati ada zona merah yang dianggap tidak aman, namun sudah dilakukan pengawasan ketat oleh Polri dan TNI."
"https://search.sindonews.com/search/24?type=artikel&q=pupr","Rabu, 05 Desember 2018 - 12:20 WIB","PUPR: Pekerja Tak Takut Membangun Infrastruktur di Papua","https://ekbis.sindonews.com/read/1360180/34/pupr-pekerja-tak-takut-membangun-infrastruktur-di-papua-1543987221","Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) menyatakan, pekerja yang ada saat ini tidak takut untuk membangun infrastruktur di Papua."
"https://search.sindonews.com/search/24?type=artikel&q=pupr","Selasa, 04 Desember 2018 - 17:58 WIB","PUPR: Jokowi Pernah Kunjungi Lokasi Pembantaian 31 Pekerja di Papua","https://ekbis.sindonews.com/read/1360005/34/pupr-jokowi-pernah-kunjungi-lokasi-pembantaian-31-pekerja-di-papua-1543921083","Menteri PUPR Basuki Hadimuljono mengatakan, Jokowi pernah memantau langsung progres pembangunan jalan dimana 31 pekerja tewas dibantai OPM di Papua"
"https://search.sindonews.com/search/24?type=artikel&q=pupr","Selasa, 04 Desember 2018 - 13:42 WIB","31 Pekerja Ditembak, Pembangunan Jembatan di Trans Papua Dihentikan","https://nasional.sindonews.com/read/1359890/14/31-pekerja-ditembak-pembangunan-jembatan-di-trans-papua-dihentikan-1543905715","Menteri PUPR, Basuki Hadimuljono mengatakan, untuk sementara ini proyek pekerjaan 35 jembatan yang ada di jalur Trans Papua dihentikan sementara."
"https://search.sindonews.com/search/24?type=artikel&q=pupr","Senin, 03 Desember 2018 - 22:41 WIB","Hari Bakti PU ke-73: Infrastruktur Mempersatukan Bangsa","https://daerah.sindonews.com/read/1359783/21/hari-bakti-pu-ke-73-infrastruktur-mempersatukan-bangsa-1543851610","Menteri PUPR Basuki Hadimuljono meminta seluruh insan PUPR untuk terus menjaga kekompakan dan kerjasama menyelesaikan pembangunan infrastruktur yang merata hingga ujung pelosok wilayah Indonesia."
"https://search.sindonews.com/search/24?type=artikel&q=pupr","Jum'at, 30 November 2018 - 21:22 WIB","Jelang Tutup Tahun, Serapan Anggaran Dinas PUPR Depok Baru 27 Persen","https://metro.sindonews.com/read/1359076/171/jelang-tutup-tahun-serapan-anggaran-dinas-pupr-depok-baru-27-persen-1543587725","Kepala BKD Kota Depok, Nina Suzana, mengatakan, dari seluruh perangkat daerah yang ada di Pemerintah Kota Depok, kecamatan menyerap anggaran paling tinggi."
"https://search.sindonews.com/search/24?type=artikel&q=pupr","Jum'at, 30 November 2018 - 19:35 WIB","Inovasi Aspal Karet di Sumsel Baru Mencapai 5,43 Kilometer","https://daerah.sindonews.com/read/1359029/190/inovasi-aspal-karet-di-sumsel-baru-mencapai-5-43-kilometer-1543579853","Kementerian PUPR mengklaim selama tahun 2018 telah mengaplikasikan inovasi aspal karet sepanjang 5,43 kilometer di jalan nasional provinsi Sumatra Selatan (Sumsel)."
"https://search.sindonews.com/search/24?type=artikel&q=pupr","Rabu, 28 November 2018 - 21:24 WIB","Tangerang dan Jepang Jajaki Kerja Sama Soal Air Baku","https://metro.sindonews.com/read/1358432/171/tangerang-dan-jepang-jajaki-kerja-sama-soal-air-baku-1543415075","Jepang melalui Daiken Corporation dan JICA menawarkan kerja sama kepada Dinas PUPR Kota Tangerang terkait Sistem Pemanenan Air Hujan Menjadi Air Baku."
"https://search.sindonews.com/search/36?type=artikel&q=pupr","Senin, 19 November 2018 - 09:33 WIB","Kronologi OTT Bupati Pakpak Bharat","https://nasional.sindonews.com/read/1355829/13/kronologi-ott-bupati-pakpak-bharat-1542594812","KPK OTT terhadap Bupati Pakpak Bharat, Sumatera Utara, Remigo Yolando Berutu (RYB) karena dugaan suap terkait proyek di Dinas PUPR Pemerintah Pakpak Bharat."
"https://search.sindonews.com/search/36?type=artikel&q=pupr","Jum'at, 16 November 2018 - 01:47 WIB","Permen PUPR Dinilai Kurang Adil untuk Pemilik Rusunami","https://metro.sindonews.com/read/1355127/170/permen-pupr-dinilai-kurang-adil-untuk-pemilik-rusunami-1542307649","Materi Peraturan Menteri PUPR No 23/2018 tentang Perhimpunan Pemilik dan Penghuni Satuan Rumah Susun (P3SRS) rentan dilakukan uji materi."
"https://search.sindonews.com/search/36?type=artikel&q=pupr","Selasa, 13 November 2018 - 19:01 WIB","Pengurus Rusun Kalibata City Keluhkan Terbitnya Permen PUPR","https://metro.sindonews.com/read/1354269/170/pengurus-rusun-kalibata-city-keluhkan-terbitnya-permen-pupr-1542099539","Sejumlah pengurus rusunawa di seluruh Jabodetabek mengeluhkan Permen No 23/2018 tentang Perhimpunan Pemilik dan Penghuni Satuan Rumah Susun (PPPSRS)."
"https://search.sindonews.com/search/36?type=artikel&q=pupr","Selasa, 13 November 2018 - 08:01 WIB","Suap DAK Kebumen, KPK Usut Anggota DPR dan Pejabat Kementerian","https://nasional.sindonews.com/read/1354139/13/suap-dak-kebumen-kpk-usut-anggota-dpr-dan-pejabat-kementerian-1542070010","Komisi Pemberantasan Korupsi (KPK) mengusut dugaan keterlibatan anggota DPR selain tersangka Taufik Kurniawan, pejabat Kemenkeu dan Kementerian PUPR."
"https://search.sindonews.com/search/36?type=artikel&q=pupr","Kamis, 08 November 2018 - 01:09 WIB","Suap Proyek Meikarta, Duo Neneng Kembalikan Rp4 Miliar ke KPK","https://nasional.sindonews.com/read/1352782/13/suap-proyek-meikarta-duo-neneng-kembalikan-rp4-miliar-ke-kpk-1541604651","Dua tersangka penerima suap, Bupati Bekasi Neneng Hasanah Yasin dan Kepala Bidang Tata Ruang Dinas PUPR Pemkab Bekasi Neneng &lrmRahmi mengembalikan Rp4 miliar ke KPK."
"https://search.sindonews.com/search/36?type=artikel&q=pupr","Rabu, 07 November 2018 - 20:09 WIB","Backlog Perumahan Sudah Berkurang 3,2 Juta Unit","https://ekbis.sindonews.com/read/1352730/179/backlog-perumahan-sudah-berkurang-3-2-juta-unit-1541596175","Kementerian PUPR menyatakan, dalam empat tahun terakhir backlog kepemilikan rumah Indonesia sudah berkurang sebesar 3,2 juta unit"
"https://search.sindonews.com/search/36?type=artikel&q=pupr","Rabu, 07 November 2018 - 10:50 WIB","DPRD Simalungun Usulkan Proyek 2019 Dikerjakan TMMD","https://daerah.sindonews.com/read/1352538/191/dprd-simalungun-usulkan-proyek-2019-dikerjakan-tmmd-1541562607","DPRD Simalungun usulkan seluruh proyek di Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR) senilai Rp 214 miliar dikerjakan melalui kegiatan Tentara Manunggal Masuk Desa (TMMD)."
"https://search.sindonews.com/search/36?type=artikel&q=pupr","Senin, 29 Oktober 2018 - 22:04 WIB","Lokasi Ini Masih Menjadi Daerah Langganan Banjir di Depok","https://metro.sindonews.com/read/1350243/171/lokasi-ini-masih-menjadi-daerah-langganan-banjir-di-depok-1540820566","Kepala Bidang SDA Dinas PUPR Kota Depok Citra Yulianti mengatakan, tiga titik itu menjadi lokasi yang kerap tergenang karena berada di dataran rendah."
"https://search.sindonews.com/search/36?type=artikel&q=pupr","Senin, 29 Oktober 2018 - 12:24 WIB","Kementerian PUPR Kekurangan Tenaga Ahli Konstruksi","https://ekbis.sindonews.com/read/1350068/34/kementerian-pupr-kekurangan-tenaga-ahli-konstruksi-1540790680","Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) mengaku kekurangan tenaga ahli konstruksi di tengah percepatan pembangunan infastruktur"
"https://search.sindonews.com/search/36?type=artikel&q=pupr","Senin, 29 Oktober 2018 - 06:01 WIB","Kementerian PUPR Seraterimakan Hibah Senilai Rp1,8 triliun","https://nasional.sindonews.com/read/1349995/15/kementerian-pupr-seraterimakan-hibah-senilai-rp1-8-triliun-1540767604","Direktorat Jenderal Cipta Karya Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) menyerahkan 741 aset senilai Rp1,8 triliun kepada 224 penerima hibah."
"https://search.sindonews.com/search/36?type=artikel&q=pupr","Kamis, 25 Oktober 2018 - 21:10 WIB","Kronologi Tangkap Tangan Bupati Cirebon Sunjaya Purwadisastra","https://nasional.sindonews.com/read/1349291/13/kronologi-tangkap-tangan-bupati-cirebon-sunjaya-purwadisastra-1540476615","KPK menetapkan Bupati Cirebon Sunjaya Purwadisastra dan Sekretaris Dinas PUPR Kabupaten Cirebon Gatot Rachmanto jadi tersangka kasus suap di Pemkab Cirebon."
