"url","Image","Image_alt","Image_link","Description 2","Description 2_link","Det News Date"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/07/1008687/140x70/jalan-aspal-dibangun-transportasi-di-kabupaten-mahulu-tak-lagi-lewat-sungai-mahakam.jpg","Jalan aspal dibangun, transportasi di Kabupaten Mahulu tak lagi lewat Sungai Mahakam","https://www.merdeka.com/uang/jalan-aspal-dibangun-transportasi-di-kabupaten-mahulu-tak-lagi-lewat-sungai-mahakam.html","Jalan aspal dibangun, transportasi di Kabupaten Mahulu tak lagi lewat Sungai Mahakam","https://www.merdeka.com/uang/jalan-aspal-dibangun-transportasi-di-kabupaten-mahulu-tak-lagi-lewat-sungai-mahakam.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/06/1008599/140x70/kementerian-pu-pr-bangunkan-jalan-masyarakat-pedalaman-di-perbatasan-kalimantan.jpg","Kementerian PU-PR bangunkan jalan masyarakat pedalaman di perbatasan Kalimantan","https://www.merdeka.com/uang/kementerian-pu-pr-bangunkan-jalan-masyarakat-pedalaman-di-perbatasan-kalimantan.html","Kementerian PU-PR bangunkan jalan masyarakat pedalaman di perbatasan Kalimantan","https://www.merdeka.com/uang/kementerian-pu-pr-bangunkan-jalan-masyarakat-pedalaman-di-perbatasan-kalimantan.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/05/1008012/140x70/jalan-perbatasan-kalimantan-sepanjang-1070-km-selesai-2019.jpg","Jalan perbatasan Kalimantan sepanjang 1.070 Km selesai 2019","https://www.merdeka.com/uang/jalan-perbatasan-kalimantan-sepanjang-1070-km-selesai-2019.html","Jalan perbatasan Kalimantan sepanjang 1.070 Km selesai 2019","https://www.merdeka.com/uang/jalan-perbatasan-kalimantan-sepanjang-1070-km-selesai-2019.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/01/1007112/140x70/bertemu-menteri-pupr-wagub-ntb-minta-tambahan-alat-berat.jpg","Bertemu Menteri PUPR, Wagub NTB minta tambahan alat berat","https://www.merdeka.com/uang/bertemu-menteri-pupr-wagub-ntb-minta-tambahan-alat-berat.html","Bertemu Menteri PUPR, Wagub NTB minta tambahan alat berat","https://www.merdeka.com/uang/bertemu-menteri-pupr-wagub-ntb-minta-tambahan-alat-berat.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index8/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/08/31/1007059/250x125/pemerintah-hadiahi-rumah-untuk-atlet-peraih-emas-di-asian-games-2018.jpg","Pemerintah hadiahi rumah untuk atlet peraih emas di Asian Games 2018","https://www.merdeka.com/uang/pemerintah-hadiahi-rumah-untuk-atlet-peraih-emas-di-asian-games-2018.html","Pemerintah hadiahi rumah untuk atlet peraih emas di Asian Games 2018","https://www.merdeka.com/uang/pemerintah-hadiahi-rumah-untuk-atlet-peraih-emas-di-asian-games-2018.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index8/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/08/31/1007047/140x70/pemerintah-bakal-sediakan-bahan-bangunan-untuk-korban-gempa-lombok.jpg","Pemerintah bakal sediakan bahan bangunan untuk korban gempa Lombok","https://www.merdeka.com/uang/pemerintah-bakal-sediakan-bahan-bangunan-untuk-korban-gempa-lombok.html","Pemerintah bakal sediakan bahan bangunan untuk korban gempa Lombok","https://www.merdeka.com/uang/pemerintah-bakal-sediakan-bahan-bangunan-untuk-korban-gempa-lombok.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index8/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/08/31/1007034/140x70/pemerintah-kebut-pembangunan-fasilitas-umum-dan-rumah-masyarakat-lombok.jpg","Pemerintah kebut pembangunan fasilitas umum dan rumah masyarakat Lombok","https://www.merdeka.com/uang/pemerintah-kebut-pembangunan-fasilitas-umum-dan-rumah-masyarakat-lombok.html","Pemerintah kebut pembangunan fasilitas umum dan rumah masyarakat Lombok","https://www.merdeka.com/uang/pemerintah-kebut-pembangunan-fasilitas-umum-dan-rumah-masyarakat-lombok.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index8/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/08/31/1007003/140x70/pemerintah-beri-rp-50-juta-ke-tiap-kk-perbaiki-rumah-rusak-akibat-gempa.jpeg","Pemerintah beri Rp 50 juta ke tiap KK, perbaiki rumah rusak akibat gempa","https://www.merdeka.com/uang/pemerintah-beri-rp-50-juta-ke-tiap-kk-perbaiki-rumah-rusak-akibat-gempa.html","Pemerintah beri Rp 50 juta ke tiap KK, perbaiki rumah rusak akibat gempa","https://www.merdeka.com/uang/pemerintah-beri-rp-50-juta-ke-tiap-kk-perbaiki-rumah-rusak-akibat-gempa.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index8/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/08/31/1006887/140x70/pupr-kirim-198-cpns-dan-178-insinyur-bantu-warga-lombok-bangun-hunian-tahan-gempa.jpeg","PUPR kirim 198 CPNS dan 178 insinyur bantu warga Lombok bangun hunian tahan gempa","https://www.merdeka.com/uang/pupr-kirim-198-cpns-dan-178-insinyur-bantu-warga-lombok-bangun-hunian-tahan-gempa.html","PUPR kirim 198 CPNS dan 178 insinyur bantu warga Lombok bangun hunian tahan gempa","https://www.merdeka.com/uang/pupr-kirim-198-cpns-dan-178-insinyur-bantu-warga-lombok-bangun-hunian-tahan-gempa.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index8/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/08/30/1006815/140x70/selain-uang-rp-15-miliar-atlet-peraih-medali-ems-asian-games-dihadiahi-rumah.jpg","Selain uang Rp 1,5 miliar, atlet peraih medali ems Asian Games dihadiahi rumah","https://www.merdeka.com/peristiwa/selain-uang-rp-15-miliar-atlet-peraih-medali-ems-asian-games-dihadiahi-rumah.html","Selain uang Rp 1,5 miliar, atlet peraih medali ems Asian Games dihadiahi rumah","https://www.merdeka.com/peristiwa/selain-uang-rp-15-miliar-atlet-peraih-medali-ems-asian-games-dihadiahi-rumah.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index8/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/08/27/1005864/140x70/jadikan-manahan-sugbk-mini-kemen-pupr-siapkan-anggaran-rp-301-m.jpg","Jadikan Manahan SUGBK mini, Kemen PUPR siapkan anggaran Rp 301 M","https://www.merdeka.com/peristiwa/jadikan-manahan-sugbk-mini-kemen-pupr-siapkan-anggaran-rp-301-m.html","Jadikan Manahan SUGBK mini, Kemen PUPR siapkan anggaran Rp 301 M","https://www.merdeka.com/peristiwa/jadikan-manahan-sugbk-mini-kemen-pupr-siapkan-anggaran-rp-301-m.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index8/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/08/27/1005835/140x70/ini-aksi-tanggap-darurat-kementerian-pupr-tangani-gempa-lombok.jpeg","Ini aksi tanggap darurat Kementerian PUPR tangani gempa Lombok","https://www.merdeka.com/uang/ini-aksi-tanggap-darurat-kementerian-pupr-tangani-gempa-lombok.html","Ini aksi tanggap darurat Kementerian PUPR tangani gempa Lombok","https://www.merdeka.com/uang/ini-aksi-tanggap-darurat-kementerian-pupr-tangani-gempa-lombok.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index8/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/08/27/1005813/140x70/pemerintah-bakal-gandeng-mahasiswa-perbaiki-infrastruktur-di-lombok.jpeg","Pemerintah bakal gandeng mahasiswa perbaiki infrastruktur di Lombok","https://www.merdeka.com/uang/pemerintah-bakal-gandeng-mahasiswa-perbaiki-infrastruktur-di-lombok.html","Pemerintah bakal gandeng mahasiswa perbaiki infrastruktur di Lombok","https://www.merdeka.com/uang/pemerintah-bakal-gandeng-mahasiswa-perbaiki-infrastruktur-di-lombok.html","Sekitar 4 Bulan yang lalu"
