,comment,like,owner,shortcode,timestamp,account,date,time
103,1,94,3819371723,B00wCDgngm6,2019-08-06 13:28:58,https://www.instagram.com/p/B00wCDgngm6/,2019-08-06,13:28:58
104,0,86,631107018,B00vBlZnWLl,2019-08-06 13:20:09,https://www.instagram.com/p/B00vBlZnWLl/,2019-08-06,13:20:09
105,0,49,1319280403,B00uQKcHfCo,2019-08-06 13:13:25,https://www.instagram.com/p/B00uQKcHfCo/,2019-08-06,13:13:25
106,18,470,8727010621,B00uEo-AZKK,2019-08-06 13:13:10,https://www.instagram.com/p/B00uEo-AZKK/,2019-08-06,13:13:10
107,0,7,6825887576,B00tItvHeGH,2019-08-06 13:03:39,https://www.instagram.com/p/B00tItvHeGH/,2019-08-06,13:03:39
108,0,16,4261715017,B00rrBknI_h,2019-08-06 12:50:52,https://www.instagram.com/p/B00rrBknI_h/,2019-08-06,12:50:52
109,2,23,1817439297,B00rnxzD8R-,2019-08-06 12:50:25,https://www.instagram.com/p/B00rnxzD8R-/,2019-08-06,12:50:25
110,0,56,594430630,B00qyicgVnR,2019-08-06 12:43:09,https://www.instagram.com/p/B00qyicgVnR/,2019-08-06,12:43:09
111,0,28,353988826,B00quFJpaGd,2019-08-06 12:42:32,https://www.instagram.com/p/B00quFJpaGd/,2019-08-06,12:42:32
112,0,88,1692219393,B00p8gSHZL4,2019-08-06 12:35:46,https://www.instagram.com/p/B00p8gSHZL4/,2019-08-06,12:35:46
113,0,20,1453064118,B00pdBIJyAp,2019-08-06 12:31:28,https://www.instagram.com/p/B00pdBIJyAp/,2019-08-06,12:31:28
114,0,14,1313051902,B00pL_Ejf48,2019-08-06 12:29:09,https://www.instagram.com/p/B00pL_Ejf48/,2019-08-06,12:29:09
115,0,15,1221424280,B00nuDchcW0,2019-08-06 12:16:19,https://www.instagram.com/p/B00nuDchcW0/,2019-08-06,12:16:19
116,1,68,1534598007,B00nTWCJGN6,2019-08-06 12:12:41,https://www.instagram.com/p/B00nTWCJGN6/,2019-08-06,12:12:41
117,0,44,4367681506,B00nSg6n_CV,2019-08-06 12:12:34,https://www.instagram.com/p/B00nSg6n_CV/,2019-08-06,12:12:34
118,0,25,2275931752,B00nPrEBAPg,2019-08-06 12:12:10,https://www.instagram.com/p/B00nPrEBAPg/,2019-08-06,12:12:10
119,0,19,1520677671,B00nOwEAdRC,2019-08-06 12:12:03,https://www.instagram.com/p/B00nOwEAdRC/,2019-08-06,12:12:03
120,0,30,1594269419,B00nIL1D182,2019-08-06 12:11:09,https://www.instagram.com/p/B00nIL1D182/,2019-08-06,12:11:09
121,3,15,2130952258,B00llDjB2dL,2019-08-06 11:57:37,https://www.instagram.com/p/B00llDjB2dL/,2019-08-06,11:57:37
122,0,27,2118832371,B00lOVeldxs,2019-08-06 11:54:31,https://www.instagram.com/p/B00lOVeldxs/,2019-08-06,11:54:31
123,0,25,548726316,B00lEiaFZkS,2019-08-06 11:53:11,https://www.instagram.com/p/B00lEiaFZkS/,2019-08-06,11:53:11
124,1,40,271973822,B00k-9kDCiV,2019-08-06 11:52:25,https://www.instagram.com/p/B00k-9kDCiV/,2019-08-06,11:52:25
125,0,11,3287333658,B00k2hYnFji,2019-08-06 11:51:16,https://www.instagram.com/p/B00k2hYnFji/,2019-08-06,11:51:16
126,0,3,5764336,B00kx9EAB6O,2019-08-06 11:50:38,https://www.instagram.com/p/B00kx9EAB6O/,2019-08-06,11:50:38
127,1,34,395825476,B00kXiyFPog,2019-08-06 11:47:02,https://www.instagram.com/p/B00kXiyFPog/,2019-08-06,11:47:02
