,sentence,polarity,subjectivity,Sentiment_Type
77,"PUPR Buka Opsi Milenial Bisa Sewa Wisma Atlet, Berapa Tarifnya?",0.2,0.2,Positive
78,Jembatan Darurat Padang-Bukittinggi untuk 1 Arah,0.0,0.0,Neutral
79,"Jembatan Bailey Selesai, Jalur Utama Padang-Bukittinggi Dibuka",0.16666666666666666,0.3333333333333333,Positive
80,Akan dibuat satu jembatan bailey lagi di samping jembatan yang pertama.,0.125,0.16666666666666666,Positive
81,Kondisi Terkini Pembangunan Jembatan Bailey di Jalur Padang-Bukittinggi,0.0,0.4,Neutral
82,Cuaca buruk mengakibatkan jembatan darurat itu belum selesai hingga Sabtu (15/12).,-0.6999999999999998,0.6666666666666666,Negative
83,Uji Coba Jembatan Bailey di Jalur Padang-Bukittinggi Ditunda,0.0,0.0,Neutral
84,Terkendala oleh cuaca buruk sejak Jumat (14/12).,-0.6999999999999998,0.6666666666666666,Negative
85,Pemerintah Siapkan Rp 500 M untuk Perbaiki Akses Pariwisata di 2019,0.0,0.0,Neutral
86,Kewajiban pemerintah pusat hanya pada perbaikan jalan nasional.,0.0,0.625,Neutral
87,Daftar 6 Tol Trans Sumatera yang Akan Diresmikan hingga Akhir 2019,0.0,0.0,Neutral
88,Pekerja informal selama ini kesulitan mengakses kredit perumahan dari bank.,0.0,0.0,Neutral
89,"Aljazair, Amerika Latin dan Afrika Ingin Tiru Program Sejuta Rumah RI",0.0,0.0,Neutral
90,Jembatan yang Ambruk di Jalur Padang-Bukittinggi Berusia 24 Tahun,0.0,0.0,Neutral
91,Konstruksi jembatan tak mampu menahan derasnya arus sungai.,-0.25,0.625,Negative
92,Menteri PUPR Kebut Pembangunan Jembatan Permanen di Jalur Padang-Bukittinggi,0.2,0.1,Positive
93,Menteri PUPR Tinjau Pembangunan Jembatan Darurat di Jalur Padang-Bukittinggi,0.0,0.0,Neutral
94,120 Hunian Sementara Korban Gempa Sulteng Siap Dihuni 17 Desember,0.1,0.375,Positive
95,"Akan Ada KPR Milenial di 2019, Bisa Kredit Tanpa Batas Gaji",0.0,0.0,Neutral
96,Ini Alasan Swasta Tak Tertarik Bangun Jalan Tol,-0.0625,0.4375,Negative
97,Tol Anyar Cileunyi-Garut-Tasikmalaya Akan Ditenderkan Awal 2019,0.1,0.3,Positive
98,"Anggaran Kementerian PUPR untuk 2019 Mencapai Rp110,7 Triliun",0.0,0.0,Neutral
99,"4 Tol Trans Jawa Diresmikan Bulan Ini, Merak-Surabaya Tersambung",0.0,0.0,Neutral
100,Jalur Merak-Surabaya akan tersambung dengan tol pada tahun ini.,0.0,0.0,Neutral
101,PUPR Targetkan Proyek untuk Revitalisasi Citarum Rampung 2019,0.0,0.0,Neutral
102,Pembangunan Curug Jompong terus dikebut untuk menangani luapan Sungai Citarum.,0.0,0.0,Neutral
103,Inovasi pembiayaan infrastruktur ini dilakukan untuk mengurangi gap pendanaan.,0.0,0.0,Neutral
104,Tol Bocimi Seksi Ciawi-Cigombong Gratis Selama Seminggu,0.4,0.8,Positive
105,Untuk Pertama Kalinya Program Sejuta Rumah Jokowi Tembus Target,0.25,0.3333333333333333,Positive
106,"Masih Rencana, Tol Jakarta-Banyuwangi Hanya Punya 3 Gerbang Pembayaran",0.0,1.0,Neutral
107,"Sesuai Permintaan Jokowi, Merak-Surabaya Tersambung Tol di Akhir 2018",0.34,0.42000000000000004,Positive
108,Berapa Harga Unit di Wisma Atlet Kemayoran Jika Dikomersialkan?,0.34,0.42000000000000004,Positive
109,Alasan Wisma Atlet Tak Diberikan ke Masyarakat Berpenghasilan Rendah,0.34,0.42000000000000004,Positive
110,Wisma Atlet Kemayoran rencananya akan diberikan kepada aparatur sipil negara (ASN).,0.34,0.42000000000000004,Positive
111,PUPR: Wisma Atlet Kemayoran Diarahkan Jadi Rusun Aparatur Sipil Negara,0.34,0.42000000000000004,Positive
112,Nasib Wisma Atlet Kemayoran yang Tak Terurus Ada di Tangan Setneg,0.34,0.42000000000000004,Positive
113,"Beberapa fasilitas Wisma Atlet dibiarkan terbengkalai, bahkan beberapa dalam keadaan rusak.",0.34,0.42000000000000004,Positive
