,date,media,newstitle
52,"[<div class=""article__date"">12/12/2018, 23:45 WIB</div>]",Kompascom,Kementerian PUPR Percepat Lelang
53,"[<div class=""article__date"">12/12/2018, 21:11 WIB</div>]",Kompascom,"Konstruksi SPAM Semarang Barat Telan Biaya Rp 1,15 Triliun"
54,"[<div class=""article__date"">11/12/2018, 14:22 WIB</div>]",Kompascom,"Akses Padang-Bukittingi Rusak, Pemerintah Bangun Jembatan Sementara"
55,"[<div class=""article__date"">10/12/2018, 15:58 WIB</div>]",Kompascom,"17 Desember, 120 Unit Huntara di Sulawesi Tengah Siap Dihuni"
56,"[<div class=""article__date"">10/12/2018, 14:46 WIB</div>]",Kompascom,Kementerian PUPR Rencanakan NCICD untuk Tanggulangi Banjir Rob Jakarta
57,"[<div class=""article__date"">07/12/2018, 23:35 WIB</div>]",Kompascom,"Menteri PUPR Dorong Millenial Segera Punya Rumah, Mengapa?"
58,"[<div class=""article__date"">07/12/2018, 23:20 WIB</div>]",Kompascom,"2019, Menteri PUPR Siapkan KPR bagi Milenial Tanpa Batasan Penghasilan"
59,"[<div class=""article__date"">07/12/2018, 15:39 WIB</div>]",Kompascom,Ini Daftar Pemenang Penghargaan PUPR 2018
60,"[<div class=""article__date"">05/12/2018, 17:24 WIB</div>]",Kompascom,Kementerian PUPR Apresiasi Pemda Berprestasi di Bidang Infrastruktur
61,"[<div class=""article__date"">05/12/2018, 12:00 WIB</div>]",Kompascom,Rumah MBR yang Dibangun Pengembang Lebih Banyak Dibanding Pemerintah
62,"[<div class=""article__date"">05/12/2018, 11:18 WIB</div>]",Kompascom,Proyek Jembatan di Nduga Papua yang Dihentikan Itu Sudah 72 Persen
63,"[<div class=""article__date"">05/12/2018, 10:04 WIB</div>]",Kompascom,Menteri PUPR Kukuhkan Pengurus ATI Baru
64,"[<div class=""article__date"">04/12/2018, 19:30 WIB</div>]",Kompascom,"Kasus Meikarta, KPK Periksa Kadis PUPR Kabupaten Bekasi "
65,"[<div class=""article__date"">04/12/2018, 12:46 WIB</div>]",Kompascom,Wajib Baca: Penangguhan Proyek Papua dan Sistem Kereta Jepang
66,"[<div class=""article__date"">04/12/2018, 06:00 WIB</div>]",Kompascom,Dukacita Mendalam Pekat Terasa di Pattimura 20
67,"[<div class=""article__date"">03/12/2018, 14:12 WIB</div>]",Kompascom,Kementerian PUPR Hentikan Sementara Proyek Jembatan di Nduga Papua
68,"[<div class=""article__date"">03/12/2018, 13:27 WIB</div>]",Kompascom,Ridwan Kamil Sebut Menteri PUPR akan Bantu Revitalisasi Kalimalang
69,"[<div class=""article__date"">03/12/2018, 07:00 WIB</div>]",Kompascom,"Siapa Pun Presidennya, Proyek Strategis Nasional Jalan Terus"
70,"[<div class=""article__date"">02/12/2018, 20:15 WIB</div>]",Kompascom,Menteri Basuki: Proyek Tol Cileunyi-Tasik Ditenderkan Tahun 2019
71,"[<div class=""article__date"">02/12/2018, 15:02 WIB</div>]",Kompascom,Kementerian PUPR Ikut Tangani Revitalisasi Kalimalang
72,"[<div class=""article__date"">29/11/2018, 15:58 WIB</div>]",Kompascom,Basuki Buka Pameran Pembangunan Infrastruktur di Bandung
73,"[<div class=""article__date"">27/11/2018, 13:30 WIB</div>]",Kompascom,"Diperingati Setiap 3 Desember, Ini Sejarah Hari Bakti PU"
74,"[<div class=""article__date"">27/11/2018, 08:32 WIB</div>]",Kompascom,Dirjen Bina Marga PUPR Investigasi Keretakan Talud di Jalur Puncak Bogor
75,"[<div class=""article__date"">24/11/2018, 09:28 WIB</div>]",Kompascom,"Rampung Dibangun, Jembatan Gantung Sudisari Pangkas Jarak Tempuh"
76,"[<div class=""article__date"">23/11/2018, 20:00 WIB</div>]",Kompascom,Jalur Puncak Bogor Diperlebar
77,"[<div class=""article__date"">23/11/2018, 18:06 WIB</div>]",Kompascom,BlueScope dan Kemendikbud Sepakat Tingkatkan Kompetensi Siswa Kejuruan
78,"[<div class=""article__date"">23/11/2018, 15:36 WIB</div>]",Kompascom,"Percepat Penyerahan Aset, Kementerian PUPR Hadirkan Klinik BMN"
79,"[<div class=""article__date"">23/11/2018, 14:52 WIB</div>]",Kompascom,Penyerahan Aset Perumahan Rp 14 Triliun Beres 2021
80,"[<div class=""article__date"">23/11/2018, 10:42 WIB</div>]",Kompascom,Daftar Pemda Penerima Aset Perumahan
81,"[<div class=""article__date"">22/11/2018, 22:00 WIB</div>]",Kompascom,Aset Perumahan Rp 266 Miliar Diserahkan kepada Pemda dan Yayasan
82,"[<div class=""article__date"">22/11/2018, 16:33 WIB</div>]",Kompascom,Berita Populer: Basuki Tanggapi Pernyataan Prabowo soal Banjir Jakarta
83,"[<div class=""article__date"">22/11/2018, 11:30 WIB</div>]",Kompascom,Trik Basuki Jalin Kerja Sama dengan Jepang
