,media,Title,Desc,titledesc,sentiment
151,JakartaPost,Hutama Karya eyes US$499 million from bond,State-owned construction company Hutama Karya will issue Rp 6.5 trillion (US$499.71 million) of a bo...,Hutama Karya eyes US$499 million from bond State-owned construction company Hutama Karya will issue Rp 6.5 trillion (US$499.71 million) of a bo...,"Sentiment(polarity=0.0, subjectivity=0.0)"
152,JakartaPost,Jokowi’s second year challenge fiscal side,"Forget the mumbo jumbo speculation on the impact of external effects on the Indonesian economy, as t...","Jokowi’s second year: the challenge on the fiscal side Forget the mumbo jumbo speculation on the impact of external effects on the Indonesian economy, as t...","Sentiment(polarity=0.0, subjectivity=0.0)"
153,JakartaPost,Japan pledges support Indonesian infrastructure development,Efforts to boost infrastructure development will get another push after Japan Bank for International...,Japan pledges support for Indonesian infrastructure development Efforts to boost infrastructure development will get another push after Japan Bank for International...,"Sentiment(polarity=0.0, subjectivity=0.0)"
154,JakartaPost,Jokowi after two years A mixed record,The administration of the former president Susilo Bambang Yudhoyono deliberated policy ad-nauseum. I...,Jokowi after two years: A mixed record The administration of the former president Susilo Bambang Yudhoyono deliberated policy ad-nauseum. I...,"Sentiment(polarity=0.0, subjectivity=0.25)"
155,JakartaPost,Jokowi launches electricity projects Papua West Papua,"President Joko “Jokowi” Widodo inaugurated several infrastructure projects, including si...","Jokowi launches electricity projects in Papua, West Papua President Joko “Jokowi” Widodo inaugurated several infrastructure projects, including si...","Sentiment(polarity=0.0, subjectivity=0.0)"
156,JakartaPost,Indonesia struggles achieve infrastructure target,"In the past, having a decent house was merely a dream for Dersinah, 51. Working as a farmer with an ...","Indonesia struggles to achieve infrastructure target In the past, having a decent house was merely a dream for Dersinah, 51. Working as a farmer with an ...","Sentiment(polarity=0.0, subjectivity=0.0)"
157,JakartaPost,Government build more roads border areas,The Public Works and Public Housing Ministry has vowed to focus state budget spending next year on r...,Government to build more roads in border areas The Public Works and Public Housing Ministry has vowed to focus state budget spending next year on r...,"Sentiment(polarity=0.5, subjectivity=0.5)"
158,JakartaPost,Jokowi Ahok inspect city’s major projects,"Only days after being rebuked for breaking his promise to not carry out forced evictions in Jakarta,...","Jokowi, Ahok inspect city’s major projects Only days after being rebuked for breaking his promise to not carry out forced evictions in Jakarta,...","Sentiment(polarity=0.0625, subjectivity=0.5)"
159,JakartaPost,VP calls quality sustainability electricity development,Vice President Jusuf Kalla says Indonesia’s electricity development should not merely focus on...,"VP calls for quality, sustainability in electricity development Vice President Jusuf Kalla says Indonesia’s electricity development should not merely focus on...","Sentiment(polarity=0.0, subjectivity=0.0)"
160,JakartaPost,Jokowi’s vision jacks up August cement consumption,"After a tough year, the cement industry has started to see the light. The vigorous development of in...","Jokowi’s vision jacks up August cement consumption After a tough year, the cement industry has started to see the light. The vigorous development of in...","Sentiment(polarity=0.0, subjectivity=0.0)"
