url;Pos Rel Image;Pos Rel Image_alt;Pos Rel Image_link;Fbo;Fbo_link;Grey2pt5;Grey
http://www.tribunnews.com/tag/kementerian-pupr?page=9;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/kementerian-pu-pr_20180222_214734.jpg;kementerian-pu-pr_20180222_214734.jpg;http://www.tribunnews.com/nasional/2018/02/22/kementerian-pu-pr-prioritaskan-program-air-bersih-dan-sanitasi-di-agats;Kementerian PU PR Prioritaskan Program Air Bersih Dan Sanitasi di Agats;http://www.tribunnews.com/nasional/2018/02/22/kementerian-pu-pr-prioritaskan-program-air-bersih-dan-sanitasi-di-agats;Menurut Danis, curah hujan di wilayah Asmat cukup tinggi. Untuk itu pihaknya memprogramkan pembuatan penampungan air baku;Kamis, 22 Februari 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=9;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/nyoman-wirya-adnyana_20180222_194327.jpg;nyoman-wirya-adnyana_20180222_194327.jpg;http://www.tribunnews.com/bisnis/2018/02/22/dirut-waskita-pasrah-banyak-proyek-infrastrukturnya-dihentikan-karena-kecelakaan-kerja;Dirut Waskita Pasrah, Banyak Proyek Infrastrukturnya Dihentikan karena Kecelakaan Kerja;http://www.tribunnews.com/bisnis/2018/02/22/dirut-waskita-pasrah-banyak-proyek-infrastrukturnya-dihentikan-karena-kecelakaan-kerja;Nyoman enggan menjelaskan seberapa banyak proyek yang dihentikan sementara oleh Kementerian PUPR.;Kamis, 22 Februari 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=9;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/dirjen-bina-konstruksi-kementerian-pupr-syarief-burhanudin_20180222_192454.jpg;dirjen-bina-konstruksi-kementerian-pupr-syarief-burhanudin_20180222_192454.jpg;http://www.tribunnews.com/bisnis/2018/02/22/dirjen-bina-konstruksi-pupr-tidak-semua-proyek-layang-dihentikan-pembangunannya;Dirjen Bina Konstruksi PUPR: Tidak Semua Proyek Layang Dihentikan Pembangunannya;http://www.tribunnews.com/bisnis/2018/02/22/dirjen-bina-konstruksi-pupr-tidak-semua-proyek-layang-dihentikan-pembangunannya;Syarief mengatakan scope-nya adalah hanya pekerjaan yang sifatnya di atas tanah atau eleveted atau layang.;Kamis, 22 Februari 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=9;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/akibat-kecelakaan-konstruksi-di-tol-becakayu-sanksi-waskita-lebih-dari-teguran_20180222_113845.jpg;akibat-kecelakaan-konstruksi-di-tol-becakayu-sanksi-waskita-lebih-dari-teguran_20180222_113845.jpg;http://www.tribunnews.com/nasional/2018/02/22/akibat-kecelakaan-konstruksi-di-tol-becakayu-waskita-dibayangi-sanksi;Akibat Kecelakaan Konstruksi di Tol Becakayu, Waskita Dibayangi Sanksi;http://www.tribunnews.com/nasional/2018/02/22/akibat-kecelakaan-konstruksi-di-tol-becakayu-waskita-dibayangi-sanksi;Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) belum dapat memastikan sanksi yang diberikan kepada PT Waskita Karya (Persero).;Kamis, 22 Februari 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=9;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/cetakan-untuk-pengecoran-beton-proyek-tol-becakayu-ambruk_20180220_190121.jpg;cetakan-untuk-pengecoran-beton-proyek-tol-becakayu-ambruk_20180220_190121.jpg;http://www.tribunnews.com/metropolitan/2018/02/22/periksa-empat-saksi-insiden-tol-becakayu-polri-akan-mintai-keterangan-kementerian-pupr;Periksa Empat Saksi Insiden Tol Becakayu, Polri Akan Mintai Keterangan Kementerian PUPR;http://www.tribunnews.com/metropolitan/2018/02/22/periksa-empat-saksi-insiden-tol-becakayu-polri-akan-mintai-keterangan-kementerian-pupr;Sebanyak empat orang saksi telah diperiksa oleh Polri, terkait dengan ambruknya bekisting pierhead Becakayu;Kamis, 22 Februari 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=9;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/useum-rekor-i_20180222_021951.jpg;useum-rekor-i_20180222_021951.jpg;http://www.tribunnews.com/nasional/2018/02/22/proyek-jembatan-holtekamp-raih-dua-rekor-dunia-muri;Proyek Jembatan Holtekamp Raih Dua Rekor Dunia Muri;http://www.tribunnews.com/nasional/2018/02/22/proyek-jembatan-holtekamp-raih-dua-rekor-dunia-muri;Rekor pertama diberikan untuk pengiriman bagian bentang tengah jembatan yang menempuh jarak 3.200 kilometer.;Kamis, 22 Februari 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=9;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/desi-arryani_20180103_161758.jpg;desi-arryani_20180103_161758.jpg;http://www.tribunnews.com/bisnis/2018/02/21/jasa-marga-mengaku-tak-rugi-akibat-suspensi-proyek-tol-jakarta-cikampek-ii-elevated;Jasa Marga Mengaku Tak Rugi Akibat Suspensi Proyek Tol Jakarta-Cikampek II Elevated;http://www.tribunnews.com/bisnis/2018/02/21/jasa-marga-mengaku-tak-rugi-akibat-suspensi-proyek-tol-jakarta-cikampek-ii-elevated;"""Nggak ada kerugian kok dari kebijakan ini karena kan proyeknya nggak berhenti untuk seterusnya,"" ungkap Desi";Rabu, 21 Februari 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=9;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/cetakan-untuk-pengecoran-beton-proyek-tol-becakayu-ambruk_20180220_190121.jpg;cetakan-untuk-pengecoran-beton-proyek-tol-becakayu-ambruk_20180220_190121.jpg;http://www.tribunnews.com/bisnis/2018/02/21/proyek-infrastruktur-elevated-dihentikan-sementara-untuk-evaluasi-apa-saja-yang-akan-dibahas;Proyek Infrastruktur 'Elevated' Dihentikan Sementara Untuk Evaluasi, Apa Saja yang Akan Dibahas?;http://www.tribunnews.com/bisnis/2018/02/21/proyek-infrastruktur-elevated-dihentikan-sementara-untuk-evaluasi-apa-saja-yang-akan-dibahas;Pemerintah dipastikan menghentikan sementara seluruh pekerjaan pembangunan infrastruktur pada struktur layang yang menggunakan beban berat.;Rabu, 21 Februari 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=9;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/gbk_20180219_183313.jpg;gbk_20180219_183313.jpg;http://www.tribunnews.com/nasional/2018/02/19/dirut-gbk-kerugian-fasilitas-yang-dirusak-tak-lebih-dari-150-juta;Dirut GBK : Kerugian Fasilitas yang Dirusak Tak Lebih Dari 150 Juta;http://www.tribunnews.com/nasional/2018/02/19/dirut-gbk-kerugian-fasilitas-yang-dirusak-tak-lebih-dari-150-juta;"""Taksirannya tidak lebih dari 150 juta, taksirannya kerugiannya saya ulang tidak lebih 150 juta,"" ujar Winarto";Senin, 19 Februari 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=9;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/housing-and-building-material-expo-2018_20180129_200007.jpg;housing-and-building-material-expo-2018_20180129_200007.jpg;http://www.tribunnews.com/bisnis/2018/02/15/kementerian-pupr-segera-teken-mou-dengan-btn-terkait-kpr-flpp;Kementerian PUPR Segera Teken MoU Dengan BTN Terkait KPR FLPP;http://www.tribunnews.com/bisnis/2018/02/15/kementerian-pupr-segera-teken-mou-dengan-btn-terkait-kpr-flpp;”Iya, BTN balik lagi (biayai lewat FLPP). Jadi nanti BTN akan menyusul MoU-nya,”;Kamis, 15 Februari 2018
