;sentence;polarity;Subjectivity;Sentiment_Type
114;KPK Sita Dolar Singapura Saat OTT Pejabat Kementerian PUPR;0.0;0.0;Neutral
115;Pejabat PUPR yang Dicokok KPK Pegawai Ditjen Cipta Karya;0.02500000000000001;0.3;Positive
116;KPK Tangkap Tangan Pejabat Kementerian PUPR;0.34;0.42000000000000004;Positive
117;Ketua DPRD Jambi dan 11 Anggota Jadi Tersangka Suap Zumi Zola;0.34;0.42000000000000004;Positive
118;Tanggapi Presiden, Anies Sebut DKI Genjot Pembebasan Lahan;0.34;0.42000000000000004;Positive
119;PUPR Dirikan Politeknik PU untuk Bina Tenaga Konstruksi;0.34;0.42000000000000004;Positive
120;Akhir Tahun, Serapan Anggaran PUPR Baru Mencapai 88 Persen;0.34;0.42000000000000004;Positive
121;Pemerintah Bakal Bangun Rumah Korban Tsunami Selat Sunda;0.34;0.42000000000000004;Positive
122;Flyover Cengkareng Retak, Anies Minta PUPR Cek Semua Flyover;0.34;0.42000000000000004;Positive
123;PUPR Sebut Perbaikan Flyover Cengkareng Butuh Waktu 14 Hari;0.34;0.42000000000000004;Positive
124;VIDEO: Perbaikan Flyover Cengkareng Diprediksi Dua Pekan;0.34;0.42000000000000004;Positive
125;Flyover Cengkareng Retak, Polisi Alihkan Arus Lalu Lintas;0.34;0.42000000000000004;Positive
126;Flyover Cengkareng Retak Ditutup sampai 31 Desember;0.34;0.42000000000000004;Positive
127;PUPR Perbaiki Retakan Flyover Cengkareng;0.34;0.42000000000000004;Positive
128;Perilaku Ini Buktikan Masyarakat Sadar akan Lingkungan Sehat;0.34;0.42000000000000004;Positive
129;Bank Penyalur Kredit Rumah Bersubsidi Dipangkas di 2019;0.34;0.42000000000000004;Positive
130;Menteri PUPR Minta Bantuan Menkeu Bebaskan Lahan Bendungan;0.34;0.42000000000000004;Positive
131;Jokowi Ingin Anies Lebarkan Sungai Ciliwung hingga 60 Meter;0.34;0.42000000000000004;Positive
132;Dua Bendungan Proyek Jokowi Terganjal Soal Pembayaran Lahan;0.34;0.42000000000000004;Positive
133;Relokasi Diwacanakan di Pesisir Lampung Terdampak Tsunami;0.34;0.42000000000000004;Positive
134;Korban Tewas Tsunami Selat Sunda Dapat Santunan Rp15 Juta;0.34;0.42000000000000004;Positive
135;PLN Perbaiki 256 Gardu Listrik di Wilayah Terdampak Tsunami;0.34;0.42000000000000004;Positive
136;Tol Pandaan-Malang Baru Dibuka, 26 Ribu Kendaraan Melintas;0.34;0.42000000000000004;Positive
137;Kedatangan Jokowi dan Gembira Sesaat Korban Tsunami Banten;0.34;0.42000000000000004;Positive
138;Menteri PUPR: Infrastruktur Tak Banyak Terdampak Tsunami;0.34;0.42000000000000004;Positive
139;Jasa Marga Gratiskan Tujuh Tol Saat Libur Natal-Tahun Baru;0.34;0.42000000000000004;Positive
140;Peran Penting Tokoh Masyarakat dalam Perkembangan Sanitasi;0.34;0.42000000000000004;Positive
141;Tsunami Selat Sunda, Jokowi Imbau Waspada Isu Menyesatkan;0.34;0.42000000000000004;Positive
142;JK Nyatakan Penanganan Tsunami Selat Sunda Bisa lewat Darat;0.34;0.42000000000000004;Positive
143;Pembiayaan Proyek dari Sukuk Melejit 34,36 Persen;0.34;0.42000000000000004;Positive
144;Pembiayaan Proyek SBSN 2019 Dipatok Rp28,42 Triliun;0.34;0.42000000000000004;Positive
145;KPK Periksa Bupati Pakpak Bharat Terkait Suap Proyek Jalan;0.34;0.42000000000000004;Positive
146;Pembangunan Ribuan Hunian Korban Gempa Lombok Berjalan Lambat;0.34;0.42000000000000004;Positive
147;Perilaku Hidup Bersih dan Sehat Menopang Pariwisata Daerah;0.34;0.42000000000000004;Positive
148;Billy Sindoro Bantah Bahas Meikarta di Rumah Bupati Bekasi;0.34;0.42000000000000004;Positive
149;Pejabat Jabar Era Aher Dapat Sin$90 Ribu Terkait Meikarta;0.34;0.42000000000000004;Positive
150;Lippo Cikarang Ikut Didakwa Suap Bupati Bekasi Demi Meikarta;0.34;0.42000000000000004;Positive
151;Menpar Prediksi Pariwisata Jadi Penghasil Devisa Terbesar;0.34;0.42000000000000004;Positive
152;Empat Petinggi Waskita Karya Dicegah ke Luar Negeri;0.34;0.42000000000000004;Positive
153;Pemerintah Rilis Program Hibah Jalan Daerah Rp15 Triliun;0.34;0.42000000000000004;Positive
154;Tol Palembang-Lampung Diperkirakan Terhubung Juni 2019;0.34;0.42000000000000004;Positive
155;Jokowi Sebut Riau Paling Untung saat Tol Trans Sumatera Kelar;0.34;0.42000000000000004;Positive
156;Tol Pertama di Aceh Ditargetkan Rampung 2021;0.34;0.42000000000000004;Positive
157;KPK Tetapkan Penyuap Bupati Pakpak Bharat Tersangka;0.34;0.42000000000000004;Positive
158;Aturan Urun Dana Beli Saham Rilis Paling Lambat Januari 2019;0.34;0.42000000000000004;Positive
159;PUPR Sudah Lelang Proyek Senilai Rp27,55 Triliun;0.34;0.42000000000000004;Positive
160;Jembatan Penghubung Padang-Bukittinggi Dibangun Maret 2019;0.34;0.42000000000000004;Positive
161;Peran Perempuan dalam Perubahan Perilaku Hidup Bersih;0.34;0.42000000000000004;Positive
162;Moeldoko Minta Pemda Bantu Pertahankan Lahan Pertanian;0.34;0.42000000000000004;Positive
163;PUPR: 120 Hunian Sementara Siap Dihuni Korban Gempa Palu;0.34;0.42000000000000004;Positive
164;Ombudsman Sebut Empat Kementerian 'Kurang Patuh';0.34;0.42000000000000004;Positive
165;Beban Berat APBN Demi Milenial Punya Rumah;0.34;0.42000000000000004;Positive
166;Sri Mulyani: 10 Proyek Infrastruktur Skema KPBU Dimulai 2019;0.34;0.42000000000000004;Positive
167;Dua Kementerian Lakukan Lelang Dini Kebut Serapan Anggaran;0.34;0.42000000000000004;Positive
168;Jokowi Gelontorkan Anggaran Pendidikan Nyaris Rp500 T di 2019;0.34;0.42000000000000004;Positive
169;KPK Periksa Tiga Pimpinan DPRD Kabupaten Bekasi soal Meikarta;0.34;0.42000000000000004;Positive
170;Kemenpar Berencana Bangun Lokasi Karavan di Jalur Trans Jawa;0.34;0.42000000000000004;Positive
171;Menhub Akan Jajal Tol Jakarta-Surabaya Pekan Depan;0.34;0.42000000000000004;Positive
172;Adik Zulhas Sidang Perdana Dugaan Korupsi Pekan Depan;0.34;0.42000000000000004;Positive
173;Mulai 2019, Milenial Bisa Cicil KPR Subsidi Tanpa Syarat Gaji;0.34;0.42000000000000004;Positive
174;BUMN Bangun Rusun Dekat Stasiun Harga Rp250 Juta di Tangsel;0.34;0.42000000000000004;Positive
175;Curhat Menteri Basuki soal Rumah Bakal Kena Gusur Proyek Tol;0.34;0.42000000000000004;Positive
176;Jokowi Kucurkan Rp12,6 T untuk Papua dan Papua Barat di 2019;0.34;0.42000000000000004;Positive
177;Kemitraan Pemda Kelola Sampah Jadi Kunci Warga Sejahtera;0.34;0.42000000000000004;Positive
178;KPK Beri Perhatian Khusus ke Anggaran Infrastruktur Jokowi;0.34;0.42000000000000004;Positive
179;DPD Curiga Pembunuhan di Nduga Akibat Kecemburuan Sosial;0.34;0.42000000000000004;Positive
180;Menteri Basuki Tegaskan Korban Penembakan Nduga Bukan TNI;0.34;0.42000000000000004;Positive
181;PUPR Beri Penghargaan Daerah Inovatif Pembangun Infrastruktur;0.34;0.42000000000000004;Positive
182;Segera Diadili, KPK Titipkan Adik Zulhas di Lapas Lampung;0.34;0.42000000000000004;Positive
183;Program Sejuta Rumah ala Jokowi Akhirnya Tercapai Juga;0.34;0.42000000000000004;Positive
184;Sri Mulyani Proyeksi Belanja Modal Tahun Ini Negatif;0.34;0.42000000000000004;Positive
185;Kemenpar Sabet Penghargaan di Ajang Media Humas 2018;0.34;0.42000000000000004;Positive
186;TPNPB Tak Restui Rezim Jokowi Bangun Infrastruktur di Papua;0.34;0.42000000000000004;Positive
187;Dijaga Aparat, WIKA dan PTPP Tetap Garap Proyek di Papua;0.34;0.42000000000000004;Positive
188;Basuki Hadimuljono, Anak Tentara yang Jadi 'Daendels' Jokowi;0.34;0.42000000000000004;Positive
189;VIDEO: Sehari Bersama Menteri PUPR Basuki Hadimuljono;0.34;0.42000000000000004;Positive
190;Antisipasi Ancaman Terorisme, Kemhub Bangun Posko Terpadu;0.34;0.42000000000000004;Positive
191;Pengelolaan Sampah Turut Majukan Pendidikan Indonesia;0.34;0.42000000000000004;Positive
192;PUPR Minta Asosiasi Jalan Tol Tentukan Tarif Tol Trans Jawa;0.34;0.42000000000000004;Positive
193;Empat Korban Penembakan di Papua Kembali Dievakuasi;0.34;0.42000000000000004;Positive
194;Tahun Depan, Jokowi Minta Seluruh K/L Punya Program SDM;0.34;0.42000000000000004;Positive
195;Kodam Cendrawasih Pastikan Situasi di Nduga Sudah Terkendali;0.34;0.42000000000000004;Positive
196;Kementerian PUPR Pastikan Satu Pegawai Ditahan KKB Papua;0.34;0.42000000000000004;Positive
197;Gratis, Empat Ruas Tol Trans-Jawa Bakal Dibuka Sebelum Natal;0.34;0.42000000000000004;Positive
198;Komnas HAM Minta Insiden Nduga Diusut Sesuai Koridor Hukum;0.34;0.42000000000000004;Positive
199;Instruksi Jokowi: Tangkap Pelaku, Trans Papua Harus Selesai;0.34;0.42000000000000004;Positive
200;Menteri PUPR: Pembangunan di Daerah Rawan Selalu Libatkan TNI;0.34;0.42000000000000004;Positive
201;Aparat TNI-Polri Jaga Titik Rawan di Infrastruktur Papua;0.34;0.42000000000000004;Positive
202;Pembangunan di Papua Tetap Jalan dengan Pengawalan TNI-Polri;0.34;0.42000000000000004;Positive
203;Anies Sebut Penurunan Tanah Jakarta Akibat Penyedotan Air;0.34;0.42000000000000004;Positive
204;DPR akan Panggil PUPR soal Infrastruktur dan Penembakan Papua;0.34;0.42000000000000004;Positive
205;Basuki: Demi Keadilan, Pembangunan di Papua Tak Akan Berhenti;0.34;0.42000000000000004;Positive
206;Wiranto Pastikan Proyek Trans Papua Tetap Berlanjut;0.34;0.42000000000000004;Positive
207;Insiden Penembakan, Uraian Fakta Proyek Jembatan di Papua;0.34;0.42000000000000004;Positive
208;Perusahaan Sebut Korban Pembunuhan di Papua Asal Sulawesi;0.34;0.42000000000000004;Positive
209;Trans Papua, Proyek Ambisi Jokowi di Indonesia Timur;0.34;0.42000000000000004;Positive
210;Buntut Pembunuhan, Proyek Jembatan Trans Papua Dihentikan;0.34;0.42000000000000004;Positive
211;Aparat Evakuasi Puluhan Pekerja Korban Pembunuhan di Papua;0.34;0.42000000000000004;Positive
212;Kemenhub Ingin Tiru Sistem Buka Tutup Gerbang Tol Korsel;0.34;0.42000000000000004;Positive
213;Mangkir, KPK Jadwal Ulang Pemeriksaan Wakil Ketua DPRD Bekasi;0.34;0.42000000000000004;Positive
214;Menteri PUPR Pelajari Teknologi Jepang Perpanjang Usia Dam;0.34;0.42000000000000004;Positive
215;KPK Panggil Anggota DPRD PDIP Waras Wasisto di Kasus Meikarta;0.34;0.42000000000000004;Positive
216;Jokowi Bahagia Tuntaskan Tol yang 21 Tahun Mangkrak;0.34;0.42000000000000004;Positive
217;Tol Bocimi Sesi 1 Pangkas Waktu Tempuh Ciawi-Cigombong;0.34;0.42000000000000004;Positive
